127.0.0.1 - - [10/Jun/2020:18:02:47 -0500] "GET / HTTP/1.1" 404 637
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:02:48 -0500] "GET /JSF_JPA_CRUD/ HTTP/1.1" 404 610
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:03:02 -0500] "GET /JSF_JPA_CRUD/index HTTP/1.1" 404 659
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:03:09 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:03:29 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:14:44 -0500] "GET /JSF_JPA_CRUD/ HTTP/1.1" 404 610
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:14:54 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:15:06 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:17:48 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:17:49 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:17:49 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:17:50 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:17:50 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:17:50 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:17:50 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:17:50 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:18:00 -0500] "GET /JSF_JPA_CRUD/ HTTP/1.1" 404 610
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:18:11 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:18:49 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:19:04 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:19:04 -0500] "GET /favicon.ico HTTP/1.1" 404 648
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:19:06 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:19:07 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:19:07 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:19:07 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:19:07 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:19:08 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:19:08 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:18:19:10 -0500] "GET /JSF_JPA_CRUD/index.xhtml HTTP/1.1" 304 -
